,10日平均交易量,13周价格变化,26周价格变化,3个月平均交易量,52周最高价, 52周最高日期,52周最低价,52周最低日期,52周价格变化,5天价格变化,beta,市值,当月价格变化,13周同比ToS&P500价格,26周同比ToS&P500价格,52周同比ToS&P500价格,4周同比ToS&P500价格,年度同比ToS&P500价格,当年同比ToS&P500价格,交易所,股票代码
3747,0.006,-35.89744,-41.86047,10.98133,0.17300000000000001,2019-05-16,0.044000000000000004,2020-04-20,-69.32515,-1.96078,0.68763,45.88897,-1.96078,-26.506659999999997,-32.48614,-14.12444,-62.90053,-30.851670000000002,-41.17647,HK,0110.HK
3748,0.0276,-4.22535,-15.0,4.07333,0.6,2019-06-20,0.3,2020-03-19,-43.33333,-2.8571400000000002,1.13694,218.0099,-1.44928,6.2866,-2.4946099999999998,-4.88842,-31.06553,0.52663,-13.92405,HK,0111.HK
3749,0.02814,34.67742,44.3804,0.23617,9.1,2019-05-22,2.45,2019-10-09,-40.85006,-1.95695,0.63068,5371.217,-2.71845,54.407140000000005,67.66008000000001,64.29745,-28.46153,28.588720000000002,9.38865,HK,0112.HK
3750,0.0326,-14.3469,7.8167100000000005,1.9192200000000001,5.52,2020-01-10,3.35,2019-11-21,-4.988119999999999,-3.1477,0.34531,1576.8110000000001,-1.96078,-4.94586,23.67895,-0.9399799999999999,15.58106,23.58549,5.82011,HK,0113.HK
3751,0.0215,-14.28571,-1.6393400000000002,1.0816700000000001,0.85,2019-05-15,0.51,2020-04-08,-23.07692,3.4482800000000005,0.49365,362.6945,-9.090910000000001,-4.87796,12.8317,0.9908600000000001,-6.42379,-11.30003,-24.050629999999998,HK,0114.HK
3752,0.049,-9.090910000000001,-18.181820000000002,1.6196,0.127,2020-01-14,0.076,2020-04-15,-35.714290000000005,4.65116,1.08564,220.4599,4.65116,0.8870100000000001,-6.14454,1.56467,-21.79703,3.04849,-11.764710000000001,HK,0115.HK
3753,0.70076,-16.39871,-20.16377,24.57284,12.06,2019-05-28,7.06,2020-03-19,-35.43046,-1.14068,0.71244,5283.985,-1.0152299999999999,-4.15145,-7.29109,2.2507900000000003,-21.90684,-5.37597,-19.50464,HK,0116.HK
3754,0.0126,-25.0,-20.212770000000003,3.9513300000000005,0.79,2019-05-08,0.305,2019-08-22,-52.53165,-5.06329,0.24463000000000001,279.2813,0.0,-16.76822,-8.47429,-5.72056,-42.25519,-17.36678,-29.245279999999998,HK,0117.HK
3755,0.1147,-9.83607,-8.33333,1.09633,0.51,2019-05-15,0.21,2020-04-08,-43.298970000000004,10.0,1.19918,237.0309,-1.78571,3.3726,6.44686,21.15921,-31.42335,2.62491,-12.69841,HK,0118.HK
3756,4.49843,-14.098360000000001,-12.95681,149.82053,3.53,2020-01-09,2.13,2020-03-19,-16.29393,0.0,1.52859,9593.228000000001,-2.96296,-4.67005,-0.15082,-0.31184,1.8276599999999998,-5.2677,-18.88545,HK,0119.HK
3757,0.71,-28.873240000000003,-15.12605,16.94079,1.86,2019-07-03,0.85,2020-03-30,-33.11258,5.20833,2.00768,4458.065,1.0,-20.50764,-1.56132,6.90371,-18.14499,-32.22463,-42.613640000000004,HK,0120.HK
